equipment_id,equipment_tag,equipment_type,area,system,criticality
EQ-0001,PS-1001,Pipe System,Area 100,HVAC System,Medium
EQ-0002,T-1002,Tank,Area 400,WFI System,Low
EQ-0003,F-1003,Filter,Cleanroom Area,CIP System,Medium
EQ-0004,HX-1004,Heat Exchanger,Cleanroom Area,Automation System,Low
EQ-0005,CP-1005,Control Panel,Utility Area,Automation System,Medium
EQ-0006,F-1006,Filter,Area 400,Electrical System,Low
EQ-0007,CP-1007,Control Panel,Area 300,CIP System,High
EQ-0008,CP-1008,Control Panel,Area 400,CIP System,Medium
EQ-0009,R-1009,Reactor,Area 300,Process System,Medium
EQ-0010,PS-1010,Pipe System,Area 200,HVAC System,High
EQ-0011,PS-1011,Pipe System,Area 300,WFI System,Medium
EQ-0012,CP-1012,Control Panel,Utility Area,Process System,Low
EQ-0013,V-1013,Valve,Area 100,CIP System,Low
EQ-0014,R-1014,Reactor,Area 400,Automation System,High
EQ-0015,F-1015,Filter,Cleanroom Area,Electrical System,Medium
EQ-0016,F-1016,Filter,Area 100,Process System,Medium
EQ-0017,V-1017,Valve,Area 400,Electrical System,High
EQ-0018,CP-1018,Control Panel,Cleanroom Area,Automation System,Medium
EQ-0019,F-1019,Filter,Utility Area,Automation System,Medium
EQ-0020,R-1020,Reactor,Cleanroom Area,Automation System,Medium
EQ-0021,PS-1021,Pipe System,Cleanroom Area,HVAC System,Medium
EQ-0022,CP-1022,Control Panel,Area 300,CIP System,High
EQ-0023,V-1023,Valve,Area 300,Process System,Low
EQ-0024,HX-1024,Heat Exchanger,Area 200,CIP System,Low
EQ-0025,F-1025,Filter,Area 300,Electrical System,Low
EQ-0026,CP-1026,Control Panel,Area 100,CIP System,Medium
EQ-0027,V-1027,Valve,Area 300,CIP System,Medium
EQ-0028,P-1028,Pump,Cleanroom Area,Automation System,High
EQ-0029,CP-1029,Control Panel,Area 100,Process System,Low
EQ-0030,CP-1030,Control Panel,Cleanroom Area,CIP System,Low
EQ-0031,F-1031,Filter,Area 100,Process System,Low
EQ-0032,CP-1032,Control Panel,Area 400,HVAC System,Medium
EQ-0033,PS-1033,Pipe System,Area 200,Process System,Medium
EQ-0034,F-1034,Filter,Area 100,Process System,Medium
EQ-0035,F-1035,Filter,Area 100,Automation System,Low
EQ-0036,P-1036,Pump,Area 200,CIP System,Low
EQ-0037,CP-1037,Control Panel,Area 100,CIP System,High
EQ-0038,R-1038,Reactor,Utility Area,Automation System,Low
EQ-0039,V-1039,Valve,Utility Area,HVAC System,Medium
EQ-0040,F-1040,Filter,Area 300,Automation System,Medium
EQ-0041,CP-1041,Control Panel,Utility Area,Automation System,High
EQ-0042,T-1042,Tank,Area 200,Electrical System,Undefined
EQ-0043,CP-1043,Control Panel,Cleanroom Area,Process System,Undefined
EQ-0044,V-1044,Valve,Area 200,Automation System,High
EQ-0045,HX-1045,Heat Exchanger,Area 100,HVAC System,Undefined
EQ-0046,F-1046,Filter,Area 300,Process System,High
EQ-0047,CP-1047,Control Panel,Cleanroom Area,WFI System,Low
EQ-0048,F-1048,Filter,Area 100,Electrical System,High
EQ-0049,CP-1049,Control Panel,Cleanroom Area,Automation System,Low
EQ-0050,V-1050,Valve,Area 400,Process System,Low
EQ-0051,V-1051,Valve,Cleanroom Area,CIP System,Medium
EQ-0052,HX-1052,Heat Exchanger,Area 100,Process System,High
EQ-0053,CP-1053,Control Panel,Utility Area,Electrical System,Low
EQ-0054,CP-1054,Control Panel,Area 400,Process System,Medium
EQ-0055,CP-1055,Control Panel,Cleanroom Area,HVAC System,Medium
EQ-0056,F-1056,Filter,Area 400,Process System,Low
EQ-0057,P-1057,Pump,Area 400,Electrical System,Medium
EQ-0058,CP-1058,Control Panel,Area 100,Process System,High
EQ-0059,P-1059,Pump,Cleanroom Area,WFI System,Low
EQ-0060,P-1060,Pump,Area 200,HVAC System,Low
EQ-0061,F-1061,Filter,Area 300,CIP System,Low
EQ-0062,R-1062,Reactor,Cleanroom Area,HVAC System,High
EQ-0063,F-1063,Filter,Area 300,HVAC System,Medium
EQ-0064,PS-1064,Pipe System,Cleanroom Area,Process System,High
EQ-0065,PS-1065,Pipe System,Area 400,Electrical System,Medium
EQ-0066,CP-1066,Control Panel,Cleanroom Area,HVAC System,Low
EQ-0067,P-1067,Pump,Area 400,Process System,Medium
EQ-0068,CP-1068,Control Panel,Area 300,Process System,Medium
EQ-0069,P-1069,Pump,Cleanroom Area,Automation System,Medium
EQ-0070,R-1070,Reactor,Area 100,CIP System,Low
EQ-0071,PS-1071,Pipe System,Utility Area,HVAC System,Low
EQ-0072,F-1072,Filter,Area 100,CIP System,Medium
EQ-0073,HX-1073,Heat Exchanger,Area 300,HVAC System,Low
EQ-0074,F-1074,Filter,Area 100,Process System,Low
EQ-0075,V-1075,Valve,Cleanroom Area,CIP System,Medium
EQ-0076,P-1076,Pump,Utility Area,HVAC System,High
EQ-0077,V-1077,Valve,Area 100,HVAC System,High
EQ-0078,HX-1078,Heat Exchanger,Area 400,Electrical System,Medium
EQ-0079,CP-1079,Control Panel,Area 400,HVAC System,Medium
EQ-0080,V-1080,Valve,Area 400,Automation System,High
EQ-0081,R-1081,Reactor,Area 200,Automation System,Low
EQ-0082,HX-1082,Heat Exchanger,Area 100,WFI System,Medium
EQ-0083,PS-1083,Pipe System,Utility Area,WFI System,High
EQ-0084,CP-1084,Control Panel,Cleanroom Area,WFI System,Low
EQ-0085,F-1085,Filter,Area 200,HVAC System,Low
EQ-0086,F-1086,Filter,Area 300,WFI System,Low
EQ-0087,R-1087,Reactor,Area 400,WFI System,High
EQ-0088,V-1088,Valve,Utility Area,HVAC System,High
EQ-0089,R-1089,Reactor,Area 100,WFI System,Low
EQ-0090,F-1090,Filter,Cleanroom Area,HVAC System,Medium
EQ-0091,HX-1091,Heat Exchanger,Area 400,Process System,High
EQ-0092,PS-1092,Pipe System,Area 100,HVAC System,High
EQ-0093,F-1093,Filter,Area 100,Electrical System,High
EQ-0094,R-1094,Reactor,Cleanroom Area,CIP System,High
EQ-0095,F-1095,Filter,Area 300,WFI System,Low
EQ-0096,R-1096,Reactor,Cleanroom Area,Process System,Medium
EQ-0097,R-1097,Reactor,Area 300,Electrical System,Low
EQ-0098,F-1098,Filter,Utility Area,Process System,Low
EQ-0099,T-1099,Tank,Area 200,Electrical System,Low
EQ-0100,CP-1100,Control Panel,Area 200,Electrical System,High
EQ-0101,R-1101,Reactor,Area 100,Electrical System,Low
EQ-0102,T-1102,Tank,Area 400,CIP System,Low
EQ-0103,CP-1103,Control Panel,Area 100,Process System,Medium
EQ-0104,P-1104,Pump,Area 300,WFI System,Medium
EQ-0105,R-1105,Reactor,Area 200,CIP System,Low
EQ-0106,R-1106,Reactor,Utility Area,Electrical System,High
EQ-0107,HX-1107,Heat Exchanger,Area 200,Process System,Low
EQ-0108,R-1108,Reactor,Utility Area,Electrical System,High
EQ-0109,F-1109,Filter,Utility Area,CIP System,High
EQ-0110,F-1110,Filter,Cleanroom Area,WFI System,Medium
EQ-0111,CP-1111,Control Panel,Cleanroom Area,Process System,Medium
EQ-0112,CP-1112,Control Panel,Cleanroom Area,Automation System,High
EQ-0113,T-1113,Tank,Area 400,WFI System,Low
EQ-0114,CP-1114,Control Panel,Cleanroom Area,HVAC System,Low
EQ-0115,CP-1115,Control Panel,Area 400,WFI System,High
EQ-0116,R-1116,Reactor,Area 400,Process System,High
EQ-0117,R-1117,Reactor,Utility Area,WFI System,Low
EQ-0118,CP-1118,Control Panel,Cleanroom Area,WFI System,High
EQ-0119,R-1119,Reactor,Area 300,Process System,Low
EQ-0120,P-1120,Pump,Utility Area,Electrical System,Medium
EQ-0121,CP-1121,Control Panel,Area 200,Automation System,Medium
EQ-0122,V-1122,Valve,Cleanroom Area,CIP System,Low
EQ-0123,CP-1123,Control Panel,Cleanroom Area,Electrical System,Low
EQ-0124,HX-1124,Heat Exchanger,Cleanroom Area,Process System,Low
EQ-0125,P-1125,Pump,Area 300,HVAC System,High
EQ-0126,PS-1126,Pipe System,Cleanroom Area,CIP System,High
EQ-0127,CP-1127,Control Panel,Area 300,Electrical System,Medium
EQ-0128,HX-1128,Heat Exchanger,Area 200,CIP System,Low
EQ-0129,PS-1129,Pipe System,Utility Area,Automation System,Medium
EQ-0130,HX-1130,Heat Exchanger,Area 300,HVAC System,Medium
EQ-0131,PS-1131,Pipe System,Area 100,HVAC System,High
EQ-0132,HX-1132,Heat Exchanger,Area 200,Electrical System,Low
EQ-0133,R-1133,Reactor,Utility Area,WFI System,High
